,Site,WY,Month,CF.p,CG.p,SC.p,SH.p,P.p,Mult.p,Unknown.p,Season,PPT1,PPT3,PPT6,PPTwy,CWD1,CWD3,CWD6,CWDwy,MeanMaxT1,MeanMaxT3,MeanMaxT6,MeanMaxTwy,MaxT1,MaxT3,MaxT6,MaxTwy,MeanMinT1,MeanMinT3,MeanMinT6,MeanMinTwy,MinT1,MinT3,MinT6,MinTwy,P1,P3,P6,Pwy,N1,N3,N6,Nwy,TotC1,TotC3,TotC6,TotCwy,Turb1,Turb3,Turb6,Turbwy,DO1,DO3,DO6,DOwy,pH1,pH3,pH6,pHwy,Cond1,Cond3,Cond6,Condwy,H2Otemp1,H2Otemp3,H2Otemp6,H2Otempwy,Flow,rollMean,rollMean3,rollMean6,rollMeanWY,Cat1,Cat3,Cat6,CatWY
11,1,2009,10,0.203592814,0.27744511,0.303393214,0.087824351,0.127744511,0,0,Fall,80.4,86.4,271.7,1296.4,0,285.9,498.4,498.4,21.1,26.49666667,26.36166667,18.4725,21.1,29.56,30.92,30.92,6.43,10.50666667,10.57333333,5.4675,6.43,6.43,6.43,-1.64,0,0,0,0,0,0,0,0,648.8,1829.333333,1361.516667,741.1916667,0,0.046666667,0.223333333,0.24,13.88,12.32666667,12.53166667,13.12666667,7.09,7.106666667,7.101666667,6.748333333,33.4,33.02,37.81,39.9575,11.48,13.42,12.00833333,8.5,4.74,56.682,20.45266667,12.65405556,38.78578082,Flood,Wet,Average,Dry
12,1,2010,6,0.051383399,0.456521739,0.333992095,0.067193676,0.088932806,0,0.001976285,Spring,7.5,370.7,1037.8,1475.1,19,19,19,493.8,24.9,18.2,14.36333333,18.05,24.9,24.9,24.9,30.92,9.6,4.77,2.53,5.194166667,9.6,1.21,-0.13,-1.55,0,0,0,0,0,0,0,0,770.1,301.1333333,188.4,782.725,0.866666667,0.982222222,0.771666667,0.455,10.65,13.69555556,NA,NA,6.533333333,6.745555555,6.895555555,7.041944444,39.03333333,40.57888889,44.43388889,42.23861111,8.1,6.373333333,5.264444445,7.878055556,5.51,26.42266667,119.2908889,117.7621111,63.0400274,Wet,Average,Average,Average
13,1,2010,10,0.191616766,0.327345309,0.329341317,0.03992016,0.105788423,0,0.007984032,Fall,125,128.2,259.2,1516.9,0,273.6,475.7,475.7,18.15,24.75,24.40833333,17.57833333,18.15,28.6,30.5,30.5,5.24,8.846666667,8.79,4.768333333,5.24,5.24,3.5,-1.55,0,0.016666667,0.008333333,0.004166667,0,0,0,0,686.7,NA,NA,NA,0.22,0.516666667,0.569444445,0.575833333,15.26,12.21,11.93444444,NA,6.7,6.786666667,6.789444444,6.953055555,38.27,40.7,40.55055556,43.30861111,12.57,12.93,10.96833333,7.737222222,4.76,12.36766667,6.280666667,22.757,44.03167123,Average,Average,Average,Dry
14,1,2011,6,0.037475345,0.457593688,0.349112426,0.015779093,0.140039448,0,0,Spring,75.24,267.94,1089.5,1523.7,0,0,0,456.7,23.38,18.59,14.72,17.75583333,23.38,23.38,23.38,30.5,10.5,6.12,3.505,5.174166667,10.5,2.77,-0.21,-1.11,0.17,0.08,0.04,0.024166667,0,0,0,0,185,73.4,99.5,NA,0.87,0.756666667,1.49,0.999722222,9.57,10.61333333,12.465,12.24388889,6.26,NA,NA,NA,31.83,35.07666667,36.32666667,38.35194444,12.33,7.95,6.7,8.880833333,21.5,31.866,149.6842222,302.9237778,193.8226849,Wet,Wet,Average,Wet
15,1,2011,10,0.110019646,0.302554028,0.284872299,0.178781925,0.115913556,0,0.007858546,Fall,267.51,269.12,443.86,1664.62,0,128.4,128.4,128.4,20,27.08,25.205,18.2275,20,30.85,30.85,30.85,7.7,12.68666667,11.29666667,6.22,7.7,7.7,5.09,-1.11,0,0,0.04,0.02,0,0,0,0,387.3,281.8,212.8666667,210.525,0.33,0.4,0.561666667,0.929166667,13.41,10.7,10.6,12.39166667,6.12,6.186666667,NA,NA,31.7,31.58,31.96166667,35.2525,8.92,11.72666667,10.575,8.754166667,14,39.26233333,15.73133333,27.00766667,65.57654795,Wet,Average,Wet,Average
16,1,2012,6,0.014799154,0.513742072,0.317124736,0.035940803,0.11627907,0,0.002114165,Spring,33.25,280.35,1032.04,2136.61,126.56,126.56,126.56,254.96,26.08,21.82,17.07333333,19.25916667,26.08,26.08,26.08,30.85,11.48,8.343333333,5.095,7.106666667,11.48,4.62,1.35,1.22,0.05,0.016666667,0.008333333,0.024166667,0,0,0,0,8.5,9.8,7.116666667,109.9916667,0.6,0.556666667,0.328333333,0.445,10.11,10.34333333,11.37166667,10.98583333,7.28,6.616666667,6.425,NA,35.6,37.06666667,33.205,32.58333333,11.35,9.21,5.938333333,8.256666667,8.15,10.77766667,109.7276667,129.9281667,73.46479452,Average,Average,Average,Average
17,1,2013,10,0.096114519,0.36605317,0.17791411,0.114519427,0.241308793,0.00408998,0,Fall,87.41,134.87,223.27,518.03,4.03,256.96,599.32,599.32,22.2,25.88,26.59333333,20.50333333,22.2,29.79,32.31,32.31,9,12.26666667,12.72666667,7.714166667,9,9,9,0.4,NA,NA,NA,NA,0,0,0,0,206.4,282.3666667,227.2833333,138.1333333,0.22,0.283333333,0.265,0.224166667,9.58,9.366666667,9.468333333,10.31333333,7.33,7.116666667,7.011666667,NA,32.2,34.05666667,37.42833333,37.28916667,11.25,13.66333333,12.87166667,9.6075,6.18,9.017666667,5.698777778,11.63316667,67.7029863,Average,Dry,Average,Average
18,1,2014,6,0.01986755,0.620309051,0.238410596,0.048565121,0.061810155,0.002207506,0.011037528,Spring,0,118,810.32,1807.68,168.94,168.94,168.94,617.4,27.89,23.15,19.07,20.665,27.89,27.89,27.89,32.31,13.09,9.616666667,7.115,8.649166667,13.09,5.88,3.51,1.35,0,0.036666667,0.028333333,NA,0,0,0,0,13.5,37.06666667,31.58333333,186.65,0,0.133333333,0.334722222,0.336527778,8.86,9.863333333,10.75944445,NA,7.14,7.016666667,6.887222222,6.929444444,41,43.09,38.96166667,38.73333333,9.55,9.043333333,6.938333333,8.806666667,2.23,3.059,13.11588889,48.05027778,30.41,Drought,Drought,Drought,Drought
19,1,2014,10,0.21611002,0.416502947,0.275049116,0.011787819,0.080550098,0,0,Fall,21.45,64.51,88.73,1738,64.55,336.75,698.09,698.09,21.48,26.34,27.02833333,20.78,21.48,29.8,32.31,32.31,7.73,12.98666667,13.32666667,8.885833333,7.73,7.73,7.73,1.35,0,0.03,0.031666667,0.0325,0,0,0,0,134.4,980.4333333,901.35,522.1,0.05,0.15,0.096666667,0.284027778,9.41,9.056666667,9.04,NA,7,6.863333333,7.006666667,6.894444444,34.83,31.95333333,35.78833333,37.93583333,13.23,14.62,12.90333333,9.0375,291,33.564,13.78477778,9.826611111,67.90413699,Wet,Average,Dry,Average
20,1,2015,10,0.075892857,0.350446429,0.348214286,0.015625,0.207589286,0,0.002232143,Fall,53.04,56.76,91.29,477,0,291.2,688.16,688.16,22.88,27.20333333,26.905,21.58166667,22.88,30.5,30.5,30.5,10.62,13.85666667,13.445,9.125833333,10.62,10.62,8.38,1.22,0.05,0.04,0.035,0.0175,0,0,0,0,325.5,353.8666667,672.05,431.0666667,4.18,1.606666667,1.473333333,0.863888889,8.97,9.32,10.355,11.1325,7.01,7.12,7.116666667,7.170555556,31.27,30.88,33.11166667,38.73916667,13.55,13.85,12.475,9.5125,1.3,2.586333333,2.204666667,2.811055556,27.40616438,Drought,Drought,Drought,Drought
21,11,2003,6,0.21,0.692,0.012,0.02,0.066,0,0,Spring,0,349.2,714.9,1457.6,32.4,32.4,32.4,565.5,28.57,20.95,16.83,20.185,28.57,28.57,28.57,32.58,12.95,7.713333333,4.421666667,7.234166667,12.95,2.42,-0.18,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.166666667,2,2.888888889,2.014166667,8.873333333,NA,NA,NA,6.166666667,6.111111111,NA,NA,32.86666667,48.85555556,49.95555556,46.44444445,15.2,12.78333333,10.82777778,12.15111111,4.87,12.871,145.877,116.1123889,84.93454795,Average,Wet,Average,Average
22,11,2003,10,0.101796407,0.738522954,0.005988024,0.017964072,0.129740519,0.001996008,0.003992016,Fall,0.1,44.6,115.4,1456.3,78.5,333,565.3,565.3,22.77,27.70333333,27.78,20.03,22.77,30.57,33.38,33.38,7.49,11.99333333,12.24333333,7.1575,7.49,7.49,7.49,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,1.054444444,1.3175,1.955972222,9.42,9.104444444,NA,NA,6.4,6.011111111,5.95,NA,47.07,43.64555556,40.22277778,47.40583333,11.75,13.97222222,14.43611111,11.68194444,7.44,47.66866667,18.57877778,13.98733333,69.64657534,Wet,Wet,Average,Average
23,11,2004,10,0.424184261,0.485604607,0.001919386,0.026871401,0.057581574,0.003838772,0,Fall,8.1,16.9,44.2,1372.4,75.4,363.1,730.7,730.7,26.41,28.61333333,28.03666667,21.47416667,26.41,31.25,31.64,31.64,10.19,12.27666667,12.165,7.783333333,10.19,10.19,8.1,0.99,0,0,0,NA,0,0.046666667,0.023333333,NA,NA,NA,NA,NA,0.72,0.64,0.992222222,3.449444444,8.77,9.004444444,9.172777777,10.24333333,6,6.011111111,6.211111111,6.096944444,48.01,48.49222222,44.37388889,39.48444445,13.92,14.22333333,14.48944444,11.60944444,2.48,46.13966667,18.69133333,36.22066667,84.9259726,Wet,Wet,Wet,Average
24,11,2005,6,0.114228457,0.619238477,0.102204409,0.03006012,0.130260521,0.004008016,0,Spring,58.1,371.2,1082,1679.7,0,0,0,556.9,23.94,20.12333333,16.75666667,19.85416667,23.94,23.94,23.94,31.64,8.94,6.846666667,4.748333333,7.040833333,8.94,3.31,0.63,0.63,0,0,0.021666667,0.015,0.106666667,0.035555556,0.057777778,0.050555556,6.418528055,NA,NA,NA,3.166666667,7.675555556,4.988888889,2.940555556,9.78,NA,NA,NA,6.423333333,6.118888889,6.037222222,6.196388889,33.53333333,33.52222222,35.61666667,42.08138889,13,10.47777778,9.355555555,10.92805556,11.7,47.58,152.6666667,162.8627778,98.28413699,Wet,Wet,Average,Average
25,11,2005,10,0.182186235,0.58097166,0.072874494,0.030364372,0.131578947,0.002024291,0,Fall,192.8,207,477.5,1867.9,0,281.3,360.8,360.8,19.75,26.17,25.97166667,19.38416667,19.75,32.5,33.33,33.33,7.43,11.15666667,11.315,6.906666667,7.43,7.43,7.43,0.63,0,0,0,0.015,0.1,0.127777778,0.112222222,0.086111111,NA,NA,NA,NA,1.17,0.848888889,4.088333333,2.958055556,9.98,9.588888889,9.603888889,NA,6.07,6.156666667,6.248888889,6.107777778,33.1,41.86666667,39.26666667,41.08055556,12.2,13.27777778,13.11666667,10.59166667,16.6,61.46166667,22.65233333,14.35166667,65.84753425,Flood,Wet,Average,Average
26,11,2006,10,0.079831933,0.800420168,0.008403361,0.052521008,0.052521008,0.006302521,0,Fall,36.7,37.2,77.8,1695.4,40.9,336.5,607.3,607.3,21.31,26.90333333,27.86,20.32083333,21.31,30.48,33.63,33.63,7.76,11.43666667,12.38166667,7.664166667,7.76,7.76,7.76,1.38,0,0.024444444,0.012222222,0.006111111,0,0,0,0.017222222,2419.6,2419.6,2419.6,NA,0.47,NA,NA,NA,10.19,9.863333333,9.423333333,10.17888889,5.37,5.861111111,5.786111111,5.624166667,54.6,53.41111111,49.17777778,44.90833334,10.3,12.62222222,12.82222222,10.02361111,6.59,6.154666667,5.885777778,52.36855556,94.47306849,Dry,Average,Flood,Average
27,11,2007,6,0.108163265,0.697959184,0.018367347,0.067346939,0.102040816,0.006122449,0,Spring,19,169,632.6,1515.1,85.9,85.9,85.9,623,27.84,23.74333333,17.225,20.35833333,27.84,27.84,27.84,33.63,12.01,8.606666667,4.92,7.4125,12.01,4.53,0.13,0.13,0,0,0,0.006111111,0,0,0,0.009166667,2419.6,1031.666667,570.7833333,1495.191667,0.633333333,0.853333333,1.035,NA,NA,NA,NA,NA,6.066666667,6.591111111,NA,NA,49.83333333,48.21111111,NA,NA,14.5,11.6,NA,NA,3.47,7.842,20.72177778,54.35755556,34.79542466,Average,Dry,Dry,Drought
28,11,2007,10,0.032323232,0.834343434,0.008080808,0.042424242,0.078787879,0.004040404,0,Fall,16.8,50,114.4,1530,60.1,319.5,598.6,598.6,21.26,26.06,26.99333333,19.97583333,21.26,31.65,31.65,31.65,6.94,10.8,11.485,7.115833333,6.94,6.94,6.94,0.13,0,0,0,0,0,0,0,0.009166667,2419.6,2419.6,2093.183333,1495.191667,10.59,3.918888889,2.295555556,2.218055556,13.18,10.49,NA,NA,6.32,6.478888889,6.078333333,NA,45.53,47.17666667,48.47722222,NA,10.42,13.91777778,13.91444444,NA,1.61,5.170333333,4.855333333,20.4295,249.7993699,Dry,Dry,Average,Flood
29,11,2008,6,0.108,0.754,0.012,0.038,0.076,0.012,0,Spring,0,31.3,594.5,1031.7,178,180.4,180.4,693.1,28.85,23.37333333,18.70666667,20.47416667,28.85,28.85,28.85,31.65,11.63,8.003333333,4.853333333,6.8575,11.63,3.45,-1.32,-1.32,0.09,0.03,0.015,0.0075,0.116666667,0.077777778,0.038888889,0.019444445,2419.6,1613.733333,1273.05,1538.216667,0.4,0.544444444,1.067222222,1.681666667,11.82,12.22333333,12.70555556,11.34277778,6.463333333,5.898888889,5.905,5.995,50.23333333,53.07777778,49.30555556,49.89972222,12.8,11.41111111,8.722222222,10.26,5.89,4.257333333,7.894444444,60.775,39.46583562,Dry,Drought,Dry,Dry
30,11,2008,10,0.058704453,0.78340081,0.030364372,0.020242915,0.103238866,0.004048583,0,Fall,102.9,103.6,121.4,1083.2,0,302.4,680.7,680.7,18.59,27.23,27.78166667,20.87666667,18.59,32.49,32.89,32.89,6.28,11.67333333,11.885,7.118333333,6.28,6.28,6.28,-1.32,0,0.033333333,0.031666667,0.015833333,0,0,0.038888889,0.019444445,2419.6,2419.6,2016.666667,1538.216667,NA,NA,NA,NA,NA,NA,NA,NA,6.3,6.298888889,6.455,6.111388889,34.73,50.17666667,52.87722222,51.34972222,10.8,14,13.98888889,10.41944444,4.29,57.09566667,22.65788889,15.65438889,39.01372603,Flood,Wet,Average,Dry
31,11,2009,6,0.004115226,0.835390947,0.00617284,0.012345679,0.106995885,0.030864198,0.004115226,Spring,18.6,227,865.7,1270.1,0,0,0,500.3,25.86,22.81,17.25666667,20.265,25.86,25.86,25.86,32.89,11.51,8.726666667,4.966666667,7.100833333,11.51,3.82,0.16,-0.26,0.053333333,0.017777778,0.018333333,0.0175,0.11,0.036666667,0.059444445,0.029722222,2419.6,900.5,712.35,1402.766667,0.85,0.9,1.444444445,NA,10.48333333,10.79333333,NA,NA,7.02,6.727777778,NA,NA,48.83333333,46.45555555,48.87222222,50.99638889,14.3,10.71111111,8.533333333,10.88333333,4,8.316333333,51.49688889,81.07555556,47.55852055,Average,Average,Dry,Dry
32,11,2009,10,0.050880626,0.686888454,0.01369863,0.062622309,0.181996086,0.003913894,0,Fall,74,78.1,238.9,1244.6,5,301.9,485.2,485.2,22.8,27.96333333,27.88166667,20.43,22.8,30.95,32.67,32.67,8.03,12.42666667,12.57166667,7.294166667,8.03,8.03,8.03,-0.26,0,0,0.008888889,0.009166667,0,0.052222222,0.044444445,0.042777778,2419.6,2419.6,2052.033333,1402.766667,1.63,1.337777778,1.171666667,1.255,10.33,9.41,9.926666667,NA,6.54,6.951111111,6.841111111,NA,49.53,58.94333333,53.22166667,52.46305556,8.68,12.76,12.68555556,10.37333333,4.74,56.682,20.45266667,12.65405556,38.78578082,Flood,Wet,Average,Dry
33,11,2010,6,0.046,0.854,0.012,0.01,0.074,0.004,0,Spring,3.8,368.8,1035.5,1261.2,0,0,0,485.2,25.99,19.27333333,15.67166667,21.025,25.99,25.99,25.99,32.67,12.22,6.84,4.085,7.8925,12.22,2.9,-0.12,-0.12,0.14,0.046666667,0.033333333,0.021111111,0.11,0.113333333,0.102777778,0.082777778,2419.6,978.1,NA,NA,2.5,2.566666667,3.989444445,2.660833334,9.35,10.53,10.88722222,10.80777778,6.99,6.85,6.621666667,6.686666667,44.47,43.15666667,45.02277778,53.06777778,13.2,10.74,9.313333333,10.49166667,5.51,26.42266667,119.2908889,117.7621111,63.0400274,Wet,Average,Average,Average
34,11,2010,10,0.030425963,0.815415822,0.00811359,0,0.097363083,0.048681542,0,Fall,107.7,109.6,478.4,1351.8,0,291.9,291.9,423.5,19.66,25.76333333,22.51833333,20.00916667,19.66,29.31,29.31,30.14,6.71,11.00333333,8.921666667,7.114166667,6.71,6.71,2.9,-0.12,0,0.04,0.056666667,0.033333333,0,0.09,0.081666667,0.083055556,1119.9,1986.366667,NA,NA,1.5,1.19,1.483333333,2.716388889,9.73,9.33,9.45,10.60111111,6.65,7.126666667,6.903333333,6.7075,51.57,56.44333333,50.37833333,52.12055556,13.75,13.5,13.08,10.25666667,4.76,12.36766667,6.280666667,22.757,44.03167123,Average,Average,Average,Dry
35,11,2011,6,0.071942446,0.785971223,0.019784173,0.017985612,0.102517986,0,0.001798561,Spring,65.22,222.63,974.06,1374.36,0,0,0,291.9,24.16,19.60333333,15.59166667,18.72166667,24.16,24.16,24.16,29.31,10.83,6.81,4.1,6.208333333,10.83,3.71,0.41,-0.73,0.11,0.064444444,0.032222222,0.039444444,0.12,0.076666667,0.038333333,0.041666667,733.4,485.3333333,402.6166667,NA,2.9,3.011111111,5.937777778,3.627222222,10.09666667,10.45666667,11.00666667,10.31416667,5.69,5.874444445,5.842777778,6.342222222,44.43333333,41.71111111,40.33333333,45.84416667,12.43333333,10.27777778,8.822222222,10.33861111,21.5,31.866,149.6842222,302.9237778,193.8226849,Wet,Wet,Average,Wet
36,11,2011,10,0.027196653,0.608786611,0.039748954,0.052301255,0.182008368,0.089958159,0,Fall,216.26,216.92,370.52,1484.88,0,131.6,131.6,131.6,21.14,27.91666667,26.055,19.73416667,21.14,31.62,31.62,31.62,9.7,13.28333333,11.81,7.06,9.7,9.7,5.89,-0.73,0.2,0.097777778,0.091666667,0.0525,0.13,0.158888889,0.142222222,0.071111111,NA,NA,NA,NA,1.42,1.19,2.028333333,3.658055556,9.56,9.168888889,9.512222222,10.33027778,6.1,6.021111111,5.836111111,5.950555556,51.8,53.18888889,49.54444444,45.16916667,11.98,13.52666667,12.72444444,10.31638889,14,39.26233333,15.73133333,27.00766667,65.57654795,Wet,Average,Wet,Average
37,11,2012,6,0.106,0.782,0.02,0.018,0.064,0.01,0,Spring,25.51,248.01,932.47,1923.78,68.89,68.89,68.89,200.49,26.97,22.60666667,17.86166667,20.21416667,26.97,26.97,26.97,31.62,11.75,8.873333333,5.626666667,7.811666667,11.75,5.45,1.96,1.96,0,0.03,0.035555556,0.065,0.126666667,0.103333333,0.105,0.115277778,547.5,290.2666667,555.4833333,NA,1.666666667,2.933333334,2.725,1.980833333,10.86333333,9.984444443,10.27333333,10.19944444,7.133333333,6.192222222,5.836666667,5.7425,47.76666667,43.42222222,46.22777778,48.80055555,15.73333333,12.94444444,NA,NA,8.15,10.77766667,109.7276667,129.9281667,73.46479452,Average,Average,Average,Average
38,11,2014,6,0.05362776,0.355415352,0.004206099,0.002103049,0.079915878,0.007360673,0.497371188,Spring,0,98.77,732.87,1617.28,123.09,123.09,123.09,615.18,28.91,24.20333333,20.08333333,21.61083333,28.91,28.91,28.91,33.21,12.95,9.906666667,7.408333333,8.879166667,12.95,6.48,4.15,2.01,0,0.017777778,0.030555556,NA,0.143333333,0.085555555,0.106666667,0.142777778,1413.6,520.9666667,457.75,540.0333333,0.716666667,0.606666667,1.456111111,1.25,10.04666667,10.50444444,10.64,10.19111111,6.536666667,6.557777778,NA,NA,45.56666667,45.6,40.21666667,43.44222222,11.6,12.08888889,9.827777778,10.22833333,2.23,3.059,13.11588889,48.05027778,30.41,Drought,Drought,Drought,Drought
